epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.708,1.69258,3.86723,2.0873,0.85505,0.08582,0.16585,0.09682,1.75014,3.92965,2.05532,0.00029967,0.00029967,0.00029967
2,298.509,1.59104,3.10825,1.94788,0.3741,0.13124,0.12173,0.05416,1.97811,3.58017,2.22483,0.000543006,0.000543006,0.000543006
3,469.756,1.59869,2.76276,1.92252,0.60302,0.17419,0.17003,0.06327,1.91724,3.33739,2.1608,0.000726348,0.000726348,0.000726348
4,747.141,1.59728,2.50765,1.93303,0.41177,0.2988,0.20794,0.08412,1.88955,2.94339,2.18087,0.000639027,0.000639027,0.000639027
5,944.408,1.56523,2.20657,1.88679,0.36198,0.22781,0.20271,0.10059,1.78386,2.43043,1.99577,0.000549036,0.000549036,0.000549036
6,1153.96,1.50289,2.00047,1.80204,0.57948,0.42388,0.42497,0.20292,1.77569,2.08382,1.93502,0.000459045,0.000459045,0.000459045
7,1321.01,1.45694,1.76443,1.75552,0.53478,0.39607,0.32811,0.1658,1.704,2.07147,1.89773,0.000369054,0.000369054,0.000369054
8,1531.05,1.42368,1.63743,1.71065,0.33397,0.27326,0.30698,0.15616,1.72891,1.85588,1.91498,0.000279063,0.000279063,0.000279063
9,1708.7,1.3884,1.53033,1.68995,0.39197,0.51624,0.43509,0.22309,1.70126,1.6908,1.85549,0.000189072,0.000189072,0.000189072
10,1896.05,1.33825,1.41026,1.63447,0.43574,0.37014,0.42481,0.22948,1.67569,1.64986,1.83534,9.9081e-05,9.9081e-05,9.9081e-05
